pathway	140A	146A	151A	156A	158A	161A	162A	167A	258A	259A	260A	261A	140B	146B	151B	156B	158B	161B	162B	167B	258B	259B	260B	261B
PWY-7200	22632.373822526984	18323.738447997766	22210.16608936829	21442.51688853557	17548.472622238456	25894.869422244305	21549.90929334788	25746.97380243392	19610.871542890807	20318.186288601155	23262.6407467612	16812.72693926575	6043.93486390724	8122.136535138629	6245.142911661532	4173.442631553927	1519.0452569740648	7120.537466474344	4378.625705794416	3790.186009149611	14332.187429090563	10191.211199492724	12671.262397262635	12723.784671931631
PWY-7208	39906.10382225536	32752.687205836843	39571.51940675538	36512.5735919137	31973.33679890518	44444.21884178937	37688.21656288809	45629.96935223061	29204.566475491145	35452.095047582065	40140.05052128134	29210.721613468897	15882.966178995575	20156.61037063578	44719.95438250693	15613.456543709632	2955.638725834213	21971.064780003915	15042.037355808812	50500.68853779953	24651.39419428216	25955.22699270486	24208.037846545456	30613.414256058368
PWY-7210	154.2527052213761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	163.59758832329328	49.904982284838894	24.97347130308558	64.85520618692348
PWY-7211	16027.96886772274	13018.36579777838	13579.07943768733	14674.060005361422	12969.93055001475	11534.295715375938	11562.717253886714	1898.8020159167024	8208.027520552592	7037.086086345015	11827.663954593923	8501.366286996157	7429.512671358606	10446.340258769036	6460.116025888069	5038.806962521019	1982.514771992502	8059.770623084123	4698.2271222732925	3337.905210353209	14650.371625408836	5292.979788961242	6649.636415052716	4571.029674285119
PWY-7219	36735.772872976966	30144.538357156223	35494.972198279575	33120.93856798226	28888.677075639724	40467.60562740313	33770.01734329042	41035.84186455228	29830.054659387733	33145.74309597759	36586.74000368116	27591.10737307124	13792.860209049346	17770.512876086654	38476.79310839495	13218.61179187702	2641.7430387106056	18926.302619015754	12993.309964850816	43366.18187241152	23920.522512392807	22419.054557149688	21367.82608923969	26389.376853338534
PWY-722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.28026442638755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.37133772626464	0.0	16.8	6.363636363636364
PWY-7220	36831.46946339229	32258.1858391648	36716.360925484325	34908.819224374034	31927.405606356857	40211.949316686274	34737.104726944635	41880.9309263775	26224.887332908973	32386.686796082493	35076.45898888279	26426.63122142782	13793.655719245637	18244.637218830343	39201.7946259678	15861.710974556385	2776.185792415653	19118.781177230503	13138.460464643938	45340.4246580091	22919.94153097756	22164.901045807488	20711.84576274544	27131.48394185732
PWY-7221	38767.79106277469	31880.66599243025	34415.70901714469	31631.46605719829	27294.657358538607	42230.76161299184	33323.9404142914	39726.09331979512	32237.973780226348	32170.688840685143	35099.04938448599	26419.76822771313	13478.302041125284	17287.65138056683	38401.01541683758	13032.188322752416	2454.3710034270166	19187.571300660173	12865.045033935216	43323.5328086788	21669.352689414416	22156.04228948804	21014.140396092225	26059.46434193601
PWY-7222	36831.46946339229	32258.1858391648	36716.360925484325	34908.819224374034	31927.405606356857	40211.949316686274	34737.104726944635	41880.9309263775	26224.887332908973	32386.686796082493	35076.45898888279	26426.63122142782	13793.655719245637	18244.637218830343	39201.7946259678	15861.710974556385	2776.185792415653	19118.781177230503	13138.460464643938	45340.4246580091	22919.94153097756	22164.901045807488	20711.84576274544	27131.48394185732
PWY-7228	32944.17525060647	27432.85133895781	32214.11485684356	29283.22758345341	22463.568130888736	38761.87263707525	30558.5046259138	35731.12661391677	29163.90860095568	26402.53261778391	29905.49896846748	22056.57464732967	13936.578345963566	18149.67437150763	39723.878372422056	11736.195972166664	2485.474014359368	19652.137557708524	13303.330917256964	45407.283307404825	18544.347433873943	22507.38645842721	20754.630133834835	25432.925065323063
