pathway	46	25	22	11	2	40	235A	228A	227A	226A	073A	107A	106A	105A	097A	075A	081A	083A	085A	215A	088A	260A	259A	261A	167A	140A	146A	151A	156A	258A	161A	158A	162A	124A	119A	134A	135A	137A	115A	111A	120A	129A
DTDPRHAMSYN-PWY	4844.551876428596	3413.539302407532	3160.147458733569	3602.09422008824	8520.180524519903	4736.635487423917	3059.567906353416	1157.918046359985	3602.722223354446	3977.294550132077	15528.187313609458	4476.987125340424	4612.660973931403	4036.915812033211	6979.804750877524	7758.046178418122	3787.650518120757	4160.222523417287	2328.6107859641547	17806.675172219137	7536.887286398141	19924.857820461515	21506.825134472576	18966.452232695807	16575.73716540383	18748.60092321204	12368.113669847076	8241.761606923617	10184.850848203814	29152.619038294102	19699.95631351865	11592.270008507703	13906.847587422992	16299.408051652526	16763.041993774055	18585.785353220857	15040.47300687987	26339.399688986487	14045.339058744215	14085.431630473242	16768.791791249565	24877.79871232904
ECASYN-PWY	10411.91190796844	9389.09890213187	10336.904950956638	9355.82387195044	391.3253621904074	11559.36217286034	2440.0667059657926	4476.545145144524	4569.60409612445	4513.618916123812	91.27537287276286	497.7518419971472	437.15723651527367	1399.634220290147	1707.889557475423	292.1558675519409	874.124850911915	1217.8818053487516	1964.8858165145507	14.821958692107597	2293.5186863785307	0.0	0.0	0.0	65.15961749904062	4306.093254890905	4381.727283068823	3784.052464790716	4331.52263528807	577.2854516828171	3008.027832642984	3154.820726251806	2273.630587909222	36.71105820994197	37.92136745665031	9.074727666313544	0.0	9.61558831861565	88.02920765173475	0.0	0.0	10.688886881254293
ENTBACSYN-PWY	23358.66092805495	24098.512019506816	23287.764498583376	22712.098561854003	187.7085039405713	25788.97044914349	6277.279196337823	9099.354892245416	9348.598351911538	10261.837608972406	104.79130959924986	67.42128767447703	99.80834488579316	2531.066837334753	7890.022360555689	100.85818541748225	3525.8927357203	5305.407698495152	4790.039497171226	14.638125532161029	5856.6264492124965	0.0	0.0	0.0	27.96610469345828	7912.623765007021	7774.803718049113	8544.199497135942	9321.721519964009	0.0	9181.020025274564	6850.595654971958	8284.223552953035	81.06121659889614	83.65399096959726	22.637221965941645	0.0	23.97237124854509	216.37993828982025	0.0	0.0	26.61322585622876
FAO-PWY	15488.08023395728	13779.931265927256	15392.417733830263	14030.683229152322	3746.4713287358304	17380.727362481502	3511.993491566005	6878.666997064303	6822.5981045058725	6729.043543234202	171.98119121201643	82.23426922953114	192.04119297613656	1364.150720940983	2786.668898189477	163.24705161251873	1283.6382725488122	1875.6924199387547	2017.8505590236527	186.50346410796087	3726.30712706193	1478.8444751289278	1484.632150526552	784.2528540854292	200.2858218893279	6395.7788953627705	6645.343521222153	6441.884447012955	7731.25958578481	518.8411919926582	4575.858831720186	5771.249283078223	4174.07617348978	129.9623772877628	137.1786544582391	374.9287615951132	190.7006702867153	541.4862379937026	229.01330678871923	174.740716955521	67.87404752796695	637.6037746460142
FASYN-ELONG-PWY	60305.29161627901	86239.96142555331	61151.09311159458	70313.8277547679	89675.38309686763	64705.21178833341	28146.813218197887	18341.65645928308	20419.14023022934	27879.034499146383	50240.81190926374	46253.84612861164	39038.78267785058	40632.0307695618	37582.92874361386	47580.09154003494	37600.0484024154	34918.2060146494	30979.451089778697	22151.066664749826	38974.54554903274	36171.91323297607	30924.783468116653	27626.127340867894	40645.31724100821	36647.49124647626	29268.24132425331	34511.76067331614	32303.145935382778	31363.76762578894	42731.58338268678	26100.649337220435	34578.24061394019	36293.27706600318	35875.566012453455	30634.252326684506	27046.60350558672	39424.44113473975	42578.76433006434	37353.05891936636	28301.08346965262	26265.15286494028
FASYN-INITIAL-PWY	14896.60440212599	14029.790381756213	14896.85556715506	13936.655492280195	1996.479459190376	16511.534778578334	4999.148338700834	5481.085810489316	6609.198179569694	7156.502964555075	205.78993656212373	914.6249292562278	921.1938784609448	2227.155211879249	2659.297001182705	586.9362580482341	1422.5423189498808	1910.399557565237	3283.999198075846	203.22130353873388	3726.794698175528	137.1674472549046	105.20890141207116	45.77863364856637	260.24965399691314	5274.10864339639	5519.423438188988	7459.880553361236	6233.601372199084	3078.648983111184	5425.109351426929	6137.772943188022	3397.980163635605	823.4406246182455	947.2377987727356	162.64887036359144	494.677654535666	662.942683591596	212.232017075136	275.53447754506226	751.9255911876854	212.2970926118508
FERMENTATION-PWY	22286.583146645346	20122.80065126992	20552.214710510565	19584.75475008643	13687.875333744383	24295.553632494928	9144.792694552396	8384.966239155516	10339.757572747956	11314.811314628194	12820.86461505785	4331.491589827734	5815.493939327243	6839.396499759514	8643.071711537661	7584.364299182217	5505.973060334998	5370.888621795492	5363.641769955597	15645.77936983368	11156.852890961987	19875.922581096205	21496.67228212038	17559.98183861399	17871.030202509264	23758.88904755819	19747.98702469657	14002.474779031874	15569.48216325734	17457.82185655165	26355.051245923667	15904.016931311427	16587.603976595998	11876.394735762358	14584.829478498588	12057.137775146735	16371.208604021009	21667.32668763404	13771.84613102359	15824.564117952952	11603.6431700318	15693.379799120405
FOLSYN-PWY	26008.089479087022	25447.88839412265	25056.94941291856	24863.374778168745	20256.149562290368	28360.13984117488	9772.706110260047	9607.7109777623	11215.675825765396	12919.14715272076	7070.5863130760445	3841.912143555031	3852.83282879361	6636.58387836114	8216.89730142429	2865.180053797917	5081.174332696527	5833.669410845536	6427.221636124792	17126.055730766366	11720.97436564662	21750.97293078792	21168.34234970365	20056.063895576284	18599.8045662602	23317.22257816749	18463.34246602081	15182.978594285662	17368.63860681571	22641.54934925008	24447.736707463213	16690.97040437209	17526.059704009473	16610.12769408524	18115.6999314717	18612.117041783844	19820.214056114743	24059.072114127343	13721.334173789524	15241.63542098504	17862.05673412066	17988.425905925982
FUC-RHAMCAT-PWY	8533.006618274843	7624.119367725488	8525.561283852821	7684.313142406153	358.1141975498196	9531.65959026855	2194.679194048405	3931.5979226589857	4016.777139769632	3985.1340588331664	722.100468675535	399.6850949994186	292.7182880224932	965.6539313204532	1714.7015429520743	262.28442914071525	674.0362120936365	1000.5337563460488	1020.3390881187968	443.8841257643337	2070.044104635762	576.3512230163956	1299.006909112612	476.98480221671406	353.3481530723648	5418.305023198993	5228.262608296409	4090.453834996885	4060.7068300635706	3774.082585682685	4083.911353311975	3122.6374167997888	2402.157033761543	581.9763451480909	443.60939986018457	873.4427594033167	444.0531611608663	1190.6534021990378	333.26262012879704	463.3439551370206	350.86719453572385	749.1966118432152
FUCCAT-PWY	7739.42995659262	6835.239240622316	7764.372039871368	6903.501444654534	305.2257478705264	8637.896131800086	2405.843702624559	3646.3364312042295	3831.349156998957	3782.408368983348	505.7538288176869	375.6776465396724	348.66705777939603	1000.78167825708	1461.0173843122454	339.5547646753909	687.6526423991529	948.9805917210828	1519.8390298493223	300.17568537968384	2007.842583455144	286.04523600256107	687.381251611526	229.87461668665875	410.88494816730974	3392.672697870676	3668.652917412599	3137.044944779552	3846.062124157175	1952.0939724579123	2611.0167542335425	2860.5795761086724	2383.4715042207026	367.62896946403225	233.9006325238554	533.2705194182719	259.0582368149832	752.0063604053151	263.2873443178505	343.51856477048574	177.58823091181682	679.4394702331722
GALACT-GLUCUROCAT-PWY	11503.983509329017	10538.97365218298	10850.211750281283	10328.086143919189	1552.4245521077405	12637.481645099087	3237.1289398569684	3968.984306509329	5466.101536909807	5552.327027174079	8370.650482102137	94.79618722237002	1524.8951962644032	2537.3522353717326	5819.248843705253	2451.832962293084	2678.774257831693	3394.387387915614	2408.8139327560043	5179.760585359771	5842.893158920233	7495.783807108003	5276.736651706534	5072.356874649566	5717.526252388032	9822.943768135508	8756.284981392686	6273.935213926176	7316.812523005104	6333.385665051914	10322.29069384788	6454.8765165756295	8929.42329866064	8552.476535996808	8290.564401380901	9468.272757137624	5756.587792495747	15505.967472538125	7730.648229696703	6765.2328896165445	8133.025022990392	16840.714135177957
