function	46	25	22	11	2	40	235A	228A	227A	226A	073A	107A	106A	105A	097A	075A	081A	083A	085A	215A	088A	260A	259A	261A	167A	140A	146A	151A	156A	258A	161A	158A	162A	124A	119A	134A	135A	137A	115A	111A	120A	129A
K05996	0.0	14.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K05997	7587.29	6752.5	7526.25	6761.93	61.18	8513.17	1624.75	3434.67	3374.08	3215.75	19.75	12.75	19.0	543.17	1074.36	19.25	418.0	669.0	591.74	2.75	1388.75	0.0	0.0	0.0	5.25	2296.0	2454.25	2357.17	2873.25	0.0	1614.56	2051.83	1443.51	15.25	15.75	4.25	0.0	4.5	41.0	0.0	0.0	5.0
K05998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K05999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K06001	400.0	231.5	326.92	462.5	603.3299999999999	361.58	71.0	102.0	604.4	649.83	4987.0	20.5	522.0	677.75	2104.17	2007.0	516.0	566.5	82.25	12803.0	1947.5	12221.84	14220.92	13091.33	8887.92	13266.77	9207.95	5504.65	6408.8	12635.4	8901.9	7495.200000000001	6580.41	10759.67	13423.8	10478.09	8886.99	21948.95	9758.35	10321.67	11979.62	22705.94
K06006	7603.29	6762.0	7544.25	6779.43	85.68	8524.67	1624.75	3434.67	3374.08	3219.0	19.75	12.75	19.0	543.17	1074.36	19.25	418.0	669.0	591.74	2.75	1388.75	0.0	0.0	0.0	5.25	2296.0	2454.25	2357.17	2873.25	0.0	1614.56	2051.83	1443.51	15.25	15.75	4.25	0.0	4.5	41.0	0.0	0.0	5.0
K06011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K06012	126.83	83.67	107.34	159.67000000000002	222.17	157.32999999999998	37.0	88.0	526.4	601.2	5843.5	124.0	1217.6	528.5	1664.67	2941.5	563.0	717.0	358.0	7262.5	1582.0	4472.33	5811.7	3288.0	6923.67	4742.7300000000005	5161.47	3969.5	5294.3	102.0	4746.0	4841.27	4942.83	4793.84	7311.57	13165.01	7799.07	17650.0	9822.1	5103.3	6739.77	20257.43
K06013	60.33	44.83	83.0	109.17	153.7	50.0	22.0	14.0	42.0	115.0	672.0	2.0	0.0	0.0	3.67	0.0	2.0	31.0	0.0	0.0	6.0	459.01	469.67	392.33	0.0	0.0	0.0	25.0	0.0	0.0	13.0	0.0	26.33	804.0	250.0	272.0	364.67	246.0	174.67	59.0	290.0	310.33
K06015	46.12	80.83	63.0	89.17	106.1	76.22	0.0	8.0	8.0	182.25	1471.0	17.0	242.0	18.0	1081.53	1052.0	432.0	690.0	630.99	369.0	51.0	724.5	1051.0	226.0	404.0	347.33	156.67000000000002	5.0	378.0	49.0	1683.14	563.6700000000001	1671.4299999999998	78.67	224.67	331.67	185.0	1279.0	285.67	225.83	107.0	1041.67
K06016	210.41000000000005	125.17	201.34	301.17	318.67	131.76999999999998	0.0	0.0	36.0	106.0	707.5	17.0	37.0	18.0	2222.2200000000003	190.0	849.0	1369.0	1208.98	98.0	121.0	169.5	474.5	227.0	280.5	177.0	164.5	70.5	43.5	0.0	2194.28	63.5	2094.36	792.5	168.5	503.67	323.5	492.0	229.0	345.0	229.0	741.0
K06019	5.67	8.0	15.34	17.0	29.33	25.83	0.0	0.0	21.4	38.33	28.5	0.0	29.0	37.5	28.0	25.5	7.0	25.0	30.0	0.0	93.5	46.5	34.5	12.0	115.5	259.35	122.2	109.9	158.3	40.0	429.15	292.95	35.5	1314.1	1473.3	1980.5	1130.9	1666.0	2919.7	1171.6	2418.3	440.7
K06020	16.0	12.5	40.0	55.5	50.7	0.0	0.0	0.0	8.0	26.0	672.0	0.0	0.0	0.0	0.0	0.0	2.0	31.0	0.0	0.0	6.0	0.0	116.0	126.0	0.0	0.0	0.0	25.0	0.0	0.0	13.0	0.0	24.0	593.0	37.0	168.0	307.0	42.0	15.0	102.0	125.0	25.0
K06021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K06023	41083.5	63450.17	41392.01	49743.17	74247.7	43776.66	21177.0	11755.0	13331.6	19320.63	43244.5	38781.87	33142.4	33096.57	28789.04	40961.63	30968.8	28119.5	24218.37	13118.44	31211.3	20974.33	18051.7	11927.0	28430.22	20055.33	18402.17	26187.6	22528.0	9691.0	23299.13	17654.67	22545.43	25952.34	24790.67	28564.01	23593.17	33735.8	34369.0	25845.1	19811.17	29500.33
K06024	41205.83	63574.67	41509.34	49927.67	74485.37	43918.55	21212.0	11755.0	13369.1	19402.8	42613.0	38799.62	33280.4	33121.57	28801.04	41007.63	30979.8	28091.5	24253.37	13118.44	31314.3	21035.83	18033.7	11865.0	28636.22	20138.33	18452.67	26191.1	22554.0	9691.0	23335.63	17715.67	22554.93	25708.84	24944.67	28839.51	23746.67	34567.8	34428.0	26063.1	19881.67	29782.83
K06027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	165.4	24.8	0.0	128.79999999999998	0.0	0.0	151.6	0.0	71.0	12.4	0.0	40.4	19.2	24.6	57.2	95.6	9.6
K06034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
