function	055A	056A	068A	071A	077A	078A	091A	092A	098A	099A	100A	101A	217A	218A	219A	220A	223A	224A	225A	241A	242A	243A	244A	245A	246A	248A
EC:1.3.99.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.99.16	0.0	0.0	657.0	855.0	280.0	1103.0	293.0	75.0	237.0	30.0	65.0	85.0	305.5	396.0	96.0	0.0	0.0	0.0	36.0	0.0	8.0	0.0	1.5	0.0	5.0	0.0
EC:1.3.99.22	19679.77	23978.78	13349.04	14127.12	18102.69	6530.02	25992.06	21512.92	22373.29	23347.04	29505.78	24146.23	24602.71	53825.18000000001	21643.48	52877.95	24712.06	26418.300000000003	33608.74	33838.29	33160.75	43140.09999999999	35304.92	25010.9	17955.38	32796.06999999999
EC:1.3.99.23	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	11.75	0.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
EC:1.3.99.26	850.27	342.93999999999994	4.0	0.0	2780.26	2398.17	2829.74	2174.3500000000004	514.6700000000001	459.2	1162.4	547.6700000000001	490.2	604.27	2183.27	403.92	1180.86	993.47	3711.06	689.2	835.3399999999999	1152.3200000000002	118.15	623.5300000000001	122.8	40.66
EC:1.3.99.27	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.99.28	850.27	342.93999999999994	4.0	0.0	2780.26	2398.17	2829.74	2174.3500000000004	514.6700000000001	459.2	1162.4	547.6700000000001	490.2	604.27	2183.27	403.92	1180.86	993.47	3711.06	689.2	835.3399999999999	1152.3200000000002	118.15	623.5300000000001	122.8	40.66
EC:1.3.99.29	850.27	342.93999999999994	4.0	0.0	2780.26	2398.17	2829.74	2174.3500000000004	514.6700000000001	459.2	1162.4	547.6700000000001	490.2	604.27	2183.27	403.92	1180.86	993.47	3711.06	689.2	835.3399999999999	1152.3200000000002	118.15	623.5300000000001	122.8	40.66
EC:1.3.99.31	850.27	342.93999999999994	4.0	0.0	2780.26	2398.17	2829.74	2174.3500000000004	514.6700000000001	459.2	1162.4	547.6700000000001	490.2	604.27	2183.27	403.92	1180.86	993.47	3711.06	689.2	835.3399999999999	1152.3200000000002	118.15	623.5300000000001	122.8	40.66
EC:1.3.99.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.3.99.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.0	239.0	28.0	96.5	20.0	0.0	40.0	0.0	0.0	42.0	0.0	0.0	0.0	30.0
