pathway	050B	052B	059B	064B	065B	073B	074B	075B	076B	081B	083B	085B	086B	088B	095B	097B	103B	105B	106B	107B	215B	226B	227B	228B	229B	233B	234B	235B	237B	238B	239B
P621-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PANTO-PWY	11630.387605729558	12309.758056389686	4615.039491015204	369.50058133186207	1468.039757166831	3939.277700864274	1825.3514769890755	2324.6148210731653	2420.992114586252	2564.9159495212784	3736.044255554744	2053.2093605007594	5231.799392866293	2147.668907367441	8880.609715121065	5155.139355685948	2409.658998999741	1011.6546203138108	1059.2311909836244	978.0054987209496	5761.352481386	9985.157556525031	3834.04699249596	3677.8714320031663	1842.2029382485784	3537.37415477128	3436.882063229391	7512.382688792682	6517.003622290972	7372.313707109238	2290.1565277199984
PANTOSYN-PWY	14960.458701543275	17558.532901405677	7184.589769031013	586.3065541165113	2346.072873814393	5785.542024067779	2409.835001786412	3632.673730293447	3833.601312118399	4005.6419299003055	5603.09272375583	3237.9875919435217	8119.318273670973	3307.298697814082	12755.21639807193	7667.459323506181	3435.5983521141093	1584.7052170072898	1466.3684819572263	1497.9851502363508	6618.1925464987935	11771.15555738716	4694.491791237457	4941.395908844788	2232.6631449855686	4020.242354530162	4825.323204827285	8966.271960367374	8489.80004441593	8905.349893756154	3387.6283301175818
PENTOSE-P-PWY	21891.21859463728	28390.81947253028	13797.401352463232	2444.7307136454947	4581.282223900346	11708.70964549172	3049.8486743227945	8090.358814575661	5626.875595870578	7468.128079225311	12380.706184817613	7318.602858353468	14479.379203242324	7898.829707265919	22727.95567122077	17849.113940780782	7099.79339067306	4372.845215072446	2795.4178595230374	3249.1947093162225	6259.830287493738	12349.45342700462	5516.737622964051	6383.970586425457	2629.826858650993	3585.214364282168	6426.470110856797	9047.223464540011	10207.790097812547	9389.263006587997	4301.506120688321
PEPTIDOGLYCANSYN-PWY	28082.08514361518	51676.94583289787	46970.61676141301	70535.93806398028	75822.27473975255	26214.355754642867	5534.684915697417	51135.5287135642	54568.79546132477	33083.38181119664	33174.4475510636	38767.12903542768	52379.246563911904	36047.90163886017	45258.91495251082	55892.82451113493	16252.659400386969	34250.47788982253	4887.818842768283	28395.501644012897	9615.87738154977	18145.58443846549	8467.937849080081	12608.850683216157	3731.240159137567	5403.1014363156255	14706.022902915303	14012.04540050537	18213.89507602408	15030.560285336443	18009.90459757017
PHOSLIPSYN-PWY	29628.08122177884	53006.71731700698	47668.33861331918	70836.5301941306	76619.36413902331	28639.653113504944	6612.670386335317	52509.87165010537	55787.97629588953	34402.1316357562	35242.77024846745	39903.95087011338	53497.27535637957	37075.40972417658	46221.20116588478	56325.28602455238	17507.149725834308	34826.689778656844	5525.706378250941	28876.460794631872	10278.74754819088	19317.85648912718	9023.276795740803	13234.90179868665	4074.749265519536	5794.151215468289	15053.803967930437	14999.429952035418	19491.21397263789	15880.86731986116	18352.7358100979
POLYAMINSYN3-PWY	161.605046899373	60.272108379486426	244.3528182220402	17.135908742898376	82.63689726359729	254.4722609260112	140.81431049163984	156.97174959209647	184.92167530633805	139.93687087985924	309.9322795911655	101.8539078542215	169.9354199210964	202.6043926537778	764.1905670050629	320.1041292050893	538.8072779515078	73.88172541873249	292.52190126781267	133.45482205505118	1479.5140798945165	2959.6856401556333	1483.003227642281	1192.1561724739315	458.6912457952954	876.4206531472787	1356.6585114421466	1899.8459019889413	1922.028727461216	2188.268113424473	575.6536810364591
POLYAMSYN-PWY	11712.37556357791	11278.10628359242	3572.6782694974995	54.43216134719143	130.05871516536692	512.9433105839094	191.43752609573284	220.64338869903963	256.5423273885365	243.2220314951988	588.5344164112777	258.2769955223088	4136.76292327213	286.0105201158005	6715.497343331558	3301.6730360799734	771.7986278922252	186.4767216895923	343.277777085854	178.09164805772136	1849.2762215622552	3993.030936157552	1787.054581701827	1523.8619452268829	470.17006750838766	912.6972923717824	2017.429215741759	2282.0745185035044	1962.6943478655608	2256.4512963218467	746.9970716529642
POLYISOPRENSYN-PWY	25022.87145781896	46030.22699599802	41945.43197946024	63278.26703781442	67875.44887729135	22967.8539861044	4566.116256743399	45434.8353454431	48788.63876914648	29080.805962512448	28601.940972636072	34262.57677320015	47247.39482417131	32146.215474223776	40188.74697389687	49991.67999145469	14107.763528497417	30569.17380760184	4052.332414195575	25322.28126802585	6789.342657001531	13552.765426541671	6532.87576489329	10653.77593988837	2772.5193845189983	4084.963295253915	12742.831100654834	10242.233677025011	14846.09153741845	11233.506432810937	15777.697418909229
PPGPPMET-PWY	16990.283992294786	18891.431075175344	8061.21573737691	2192.4471198457445	3412.082685151705	3666.7529352967513	1581.3478174579338	5094.992135682488	1884.737845225788	6009.020323627361	9760.867728355486	6116.505233247992	7850.422446926544	2526.413438270905	12969.467024205896	7924.548315776278	3549.134145236319	2037.931655380636	1766.0943066518416	1438.0750438995376	2501.5341519875824	5676.026217024278	2706.953195305517	2772.901570322534	1511.9890785056084	1355.415386006516	3026.787695676004	3215.3159512956504	3352.761391011256	3773.033560602001	1648.5750533296207
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	1440.1760614540187	1971.3426211968688	1121.15359619805	325.9031269602248	1290.600836051903	3300.78985629966	1646.213574426937	2047.107590347832	2107.795249319777	2248.547229980719	2697.782542966112	1500.9681817215094	1203.7578194106777	1627.3486070360495	3607.571553859376	4189.80336696852	2061.673820494184	700.1402126606283	702.2909839486603	707.8771346444986	934.0295758786192	1713.864252614933	624.77577023825	760.9547556892762	485.54377981991047	677.2735817157933	463.9970115502155	1588.7504640426914	1584.8596472769489	1238.0956697837412	484.2426271715709
PRPP-PWY	25934.928002135814	41778.32448821703	27803.882966196536	14394.340031559252	20051.43828595472	14981.83017199455	4083.170700612937	22718.33445066835	12807.719044638552	19517.88614453697	25259.92755060629	22126.56498296696	27965.98065382928	13793.788635499392	33477.64627863469	30819.313281252867	11939.789259599607	13014.004426615247	4118.149032926163	9871.08911715595	8230.42837020884	15785.20000076634	7384.379488325016	10258.16900558764	3336.980631516234	4736.489816630222	11058.95341947453	12103.647046491084	14603.45477175444	12818.048364590722	10751.866945140531
PWY-1269	11099.960076754256	11115.078488428702	4279.33443907733	1048.163578583864	1892.4051540421224	3485.499748877756	1646.9468516150432	2981.355767115938	1665.8955352448766	3382.3021788305023	5858.885611818139	3162.236280570537	4280.74101064378	1710.978977724454	7272.401638359927	4034.796767672856	2728.5761501180364	1360.3640925276095	1351.513423038257	1016.9767965016262	3920.440259433567	6993.378323352004	2930.259935973117	2905.337940242167	1725.7517559690957	2531.906103586918	2556.100879601402	5507.789593938888	4709.286706721079	5204.676509901788	1708.4668720526845
PWY-1361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-1422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-1501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-1541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.982809374048	0.0	10.661355951289844	0.0	0.0	0.0	0.0	0.0	26.78226857071537	38.62265416970338	33.710153515238815	0.0	0.0	0.0	0.0	79.05683957850752	3.2105989957010777	21.47583730454241	20.86772579996482
PWY-1622	34.961934281591645	0.0	0.0	0.0	0.0	74.69855310187039	0.0	0.0	0.0	0.0	0.0	8.11845912417789	0.0	7.494470961323816	29.53916460106589	0.0	0.0	0.0	0.0	0.0	85.07354264009693	100.3199310662566	30.96084396277099	0.0	0.0	62.16116584039308	0.0	65.28132437936772	92.2127523451271	100.53838141584365	0.0
PWY-181	109.97370828789796	23.936867335911018	0.0	15.662271157714937	0.0	231.2946112154301	0.0	39.60593419721485	0.0	0.0	198.0596485013758	67.93633023401784	159.76722100550032	23.81598803642264	176.42645428991233	18.30904778422348	123.76347707453132	61.58425245319296	17.7972182360786	131.46636310234567	460.77219106223055	923.50665650563	270.735521659467	204.95427515614665	0.0	239.757419967443	83.28691195932912	751.9905735265903	367.62084584010927	522.2166407846111	209.5433131700764
PWY-1861	0.0	55.92174198282784	1216.048948912977	0.0	148.55188039127304	436.1124517131474	127.95007437148767	181.0347854087693	83.12385815331953	392.750230072755	3563.8111284313463	2216.9061332736783	87.61289762804763	364.9964741776176	1249.0666514488903	2878.6687844621056	59.66269898740761	47.63275445988096	0.0	0.0	1230.049557031604	2596.593644395158	702.3969016434953	523.2666005929262	421.67226998440685	997.1626818744536	640.154723079099	1903.605443588704	821.1338886745839	1289.6624190797509	558.6144760544432
