function	071A	077A	091A	100A	101A	218A	219A	220A	224A	242A	245A	246A	248A	073A	075A	081A	083A	085A	088A	097A	105A	106A	107A	215A	226A	227A	228A	235A
EC:4.2.1.57	3.0	0.0	13.0	0.0	0.0	27.0	8.0	3.0	0.0	4.0	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:4.2.1.59	53494.37	43127.53	28927.630000000005	30449.51	30681.57	30325.700000000004	16803.64	30557.09	25455.35	30920.92	20501.65	17275.72	30806.19	51073.17999999999	48169.76	37273.26	34676.49999999999	30842.13	40289.28	37247.81	41088.56	39420.880000000005	46630.060000000005	20897.88	30198.550000000003	22812.09	19002.67	29551.84
EC:4.2.1.6	191.75	843.85	4671.2300000000005	5814.0	6014.530000000001	1714.6799999999998	4690.77	2095.42	2258.88	2223.33	1007.78	1461.55	1137.42	192.75	63.05	428.8	694.0	637.94	1437.55	1094.23	579.5699999999999	85.8	106.95	17.35	3224.35	3379.88	3436.67	1624.75
EC:4.2.1.68	0.0	0.0	0.0	0.0	0.0	13.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:4.2.1.7	37.75	12527.25	6548.33	7096.45	6290.889999999999	10037.96	7622.57	10525.77	4888.33	4864.58	7650.48	6309.0	3281.75	7099.75	2753.25	1370.0	1934.5	1281.98	3315.25	4060.39	1145.92	941.6	31.25	4063.75	3890.2	3923.08	3542.67	1697.75
EC:4.2.1.75	4799.42	7705.59	9824.66	15982.94	11901.53	25694.12	8203.23	26717.6	18789.33	24467.08	11055.31	10428.79	24886.08	7592.09	3128.25	1460.83	1848.5	2122.82	4067.09	3860.37	1587.75	1133.94	430.66	15467.25	4668.69	4233.4800000000005	3615.5	2500.42
EC:4.2.1.77	0.0	0.0	0.0	0.0	0.0	4.5	0.0	10.0	0.0	0.0	0.0	54.0	140.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:4.2.1.79	182.75	58.25	3877.5	5205.75	5547.0	1687.67	3976.75	1928.17	1871.75	1909.5	806.25	1371.75	1070.75	31.75	41.25	7.0	0.0	39.75	1404.75	15.17	554.5	56.0	29.75	2.75	3092.75	3194.25	3300.0	1580.75
EC:4.2.1.8	13701.37	9051.1	14073.4	14878.93	14477.85	10637.23	13196.5	11728.05	19599.22	24493.42	8672.09	9085.05	21707.99	15252.34	10470.13	8757.63	8965.43	7387.92	12867.64	11258.98	9981.82	8899.94	10333.53	5398.94	11660.36	10644.13	7295.5	9396.17
EC:4.2.1.80	182.75	54.25	3928.0	5385.85	5709.860000000001	2011.08	4272.5	2052.0	1960.75	1958.5	920.25	1390.25	1068.75	31.75	41.25	429.0	669.0	626.74	1403.0	1101.03	554.5	61.0	29.75	34.75	3127.0	3170.75	3300.0	1580.75
