function	071B	077B	091B	093B	100B	101B	218B	219B	220B	224B	242B	245B	246B	248B	073B	075B	081B	083B	085B	088B	097B	105B	106B	107B	215B	226B	227B	228B	235B
EC:2.3.1.201	14.0	0.0	0.0	21.0	0.0	32.5	257.33	81.0	630.16	388.37	532.37	97.0	480.75	500.67	14.0	0.0	23.0	9.0	10.0	2.33	0.0	30.0	0.0	51.0	253.87	447.5	154.12	181.42	373.0
EC:2.3.1.202	0.0	31.0	3.67	0.0	0.0	0.0	49.0	0.0	41.0	57.0	45.0	26.0	41.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	73.0	5.0	0.0	59.0
EC:2.3.1.203	0.0	0.0	27.0	0.0	0.0	0.0	16.0	0.0	25.0	9.0	17.0	5.0	17.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	15.0	5.0	0.0	19.0
EC:2.3.1.204	11117.17	1257.13	6015.33	16691.13	18190.0	2623.16	7019.24	6118.87	2606.94	4862.66	2179.1	3555.74	1438.0	4172.7	116.0	92.42	74.33	422.0	267.0	107.67	289.83	57.0	49.33	58.0	562.3299999999999	927.1	307.67	185.5	577.5899999999999
EC:2.3.1.207	924.83	1337.6	745.13	1000.42	428.75	614.65	807.9300000000001	272.0	1085.2800000000002	1059.39	1272.17	810.42	1123.0	1467.17	1650.25	740.8	513.71	1100.75	419.42	496.92	212.0	434.0	315.75	335.8	775.24	965.84	455.83	571.17	1101.5
EC:2.3.1.210	42.83	33.58	2078.25	82.95	86.91	105.35	291.28	2893.51	646.74	620.44	217.58	1209.75	448.15	310.51	971.92	1567.42	1686.9299999999998	3961.690000000001	2109.59	455.03	3288.53	793.5600000000001	641.66	459.58	471.29	1505.83	931.9	956.76	638.95
EC:2.3.1.222	54.0	0.0	58.0	0.0	32.0	53.85	11.42	7.67	54.5	24.84	26.58	21.0	56.17	45.09	0.0	0.0	24.0	165.72	0.0	21.0	2503.15	4.0	48.0	25.0	45.17	25.67	21.75	2.0	57.17
EC:2.3.1.223	6.0	16.75	2098.25	11.45	34.75	105.35	141.42000000000002	2563.0	218.33	184.59000000000003	170.07999999999998	1083.0	225.37	302.34000000000003	5.75	12.75	12.5	175.87	10.25	12.5	2503.15	13.0	3.5	3.25	117.67	916.84	235.5	335.25	150.34
EC:2.3.1.228	0.0	27.0	60.0	0.0	0.0	0.0	17.0	26.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:2.3.1.229	0.0	27.0	60.0	0.0	0.0	0.0	17.0	26.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:2.3.1.233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
EC:2.3.1.234	23546.6	5837.129999999999	15382.56	21685.08	21284.050000000003	4792.35	14172.0	11277.03	19318.19	14728.06	11889.95	9067.44	12541.170000000002	16807.49	23943.57	46223.34	30023.370000000003	30280.63	35147.74	32641.620000000003	50287.52	30933.36	4640.61	25662.68	10322.009999999998	19016.590000000004	8575.05	12002.48	14517.36
