function	071B	077B	091B	093B	100B	101B	218B	219B	220B	224B	242B	245B	246B	248B	073B	075B	081B	083B	085B	088B	097B	105B	106B	107B	215B	226B	227B	228B	235B
K07738	23372.73	5664.06	14928.11	21309.24	21210.16	4527.2	11266.67	10593.88	11939.21	10807.0	7762.24	7643.39	7575.500000000001	11593.57	23857.57	46162.92	29775.64	30095.37	35028.18	32475.28	50247.36	30814.560000000005	4422.28	25417.38	7105.14	13769.31	6830.33	10503.43	10454.96
K07739	0.0	32.0	0.0	0.0	0.0	0.0	21.0	0.0	40.5	19.0	32.0	0.0	52.5	36.0	0.0	8.0	0.0	0.0	2.0	25.0	0.0	0.0	0.0	0.0	15.0	22.0	26.0	0.0	35.0
K07740	910.83	1318.75	2776.08	989.87	434.0	689.35	805.14	2775.0	1379.33	1158.19	1199.08	1891.0	1297.14	1325.25	1648.42	749.75	520.77	1276.62	430.34	488.62	2722.69	432.4	319.25	337.25	808.37	1962.36	696.58	921.58	1280.12
K07741	0.0	0.0	0.0	0.0	0.0	0.0	191.0	70.0	667.0	344.0	366.0	164.0	334.0	401.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	213.0	469.0	171.0	116.0	301.0
K07742	22211.27	4058.53	11823.93	19814.13	20711.39	3753.35	9518.44	7014.3	8773.74	8278.34	5376.42	5028.11	5250.71	8869.970000000001	21052.730000000003	43788.12	27569.73	24942.93	32450.06	31454.34	46736.91	29571.8	3403.95	24685.0	5223.93	10327.67	5055.25	8799.9	7755.110000000001
K07743	0.0	0.0	0.0	9.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K07744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	11.0	32.0	0.0	41.5	25.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	22.0	20.0	0.0	30.0
K07746	2012.0	2434.25	4636.41	2368.25	527.75	729.5	433.6	2660.33	587.5799999999999	714.75	845.75	1619.0	778.46	811.63	2249.75	1272.75	1450.5	1627.41	951.59	1041.5	291.25	438.0	482.5	441.25	452.0	1446.17	448.25	710.75	873.5
K07749	2902.5	1844.25	3589.58	1854.54	846.0	803.5	964.35	2794.0	1115.25	1183.0	1371.5	1779.75	1456.25	1597.85	4790.08	8827.75	6126.17	5171.9	7105.67	5988.42	8403.75	5867.0	789.0	4688.25	1199.5	2958.75	1107.25	930.25	1962.5
K07751	42.83	77.33	2159.25	82.95	91.41	123.35	576.53	3205.1800000000003	1303.3200000000002	995.27	632.75	1668.26	844.8900000000001	869.34	1010.59	1580.42	1697.9299999999998	3961.690000000001	2110.26	455.03	3299.53	793.5600000000001	641.66	465.58	744.04	2052.52	1113.9	1083.26	1044.45
K07752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K07757	6.0	16.75	2033.75	11.45	5.25	112.75	94.42	2502.67	177.75	103.84	97.58	1096.75	200.15	171.84	5.75	16.55	12.5	180.87	10.25	33.5	2510.69	13.0	3.5	4.05	78.42	871.67	261.75	318.75	99.92
K07768	79.17	175.5	971.5	89.0	57.0	74.0	146.0	13.0	316.25	174.0	98.5	49.0	250.0	237.25	47.0	35.5	12.0	0.0	27.5	10.5	22.0	15.5	33.25	14.0	143.17000000000002	289.0	43.0	35.0	151.17000000000002
K07769	0.0	6.0	26.0	14.0	0.0	0.0	0.0	0.0	25.0	0.0	9.0	2.0	34.0	14.0	29.0	3.0	0.0	23.0	0.0	7.0	0.0	0.0	0.0	0.0	15.0	12.0	8.0	11.0	34.0
K07770	32.0	0.0	0.0	8.0	3.0	0.0	89.0	40.0	235.0	346.5	97.0	33.0	227.5	295.0	7.0	2.75	10.0	4.0	0.0	0.0	1.5	0.0	32.0	0.0	123.0	233.5	75.0	65.0	174.0
K07771	17.0	16.75	2033.75	11.45	9.25	105.35	177.62	2518.0	303.08	275.44	232.58	1199.75	397.48	244.84000000000003	5.75	12.75	15.1	188.87	10.25	33.7	2510.69	14.4	3.5	10.25	303.62	1091.84	320.75	373.75	255.62
K07772	10.0	8.25	2070.75	11.45	5.25	88.5	63.42	2506.0	100.5	88.75	47.25	1070.5	184.66	133.41	8.42	12.75	12.5	12.15	10.92	12.5	5.25	13.0	3.5	3.25	59.58	892.52	225.58	314.25	96.5
K07773	42.83	69.58	2159.25	82.95	91.41	123.35	576.53	3205.1800000000003	1303.3200000000002	995.27	628.0	1668.26	844.8900000000001	869.34	1010.59	1580.42	1697.9299999999998	3961.690000000001	2110.26	455.03	3299.53	793.5600000000001	641.66	465.58	744.04	2052.52	1113.9	1083.26	1039.95
K07774	1014.83	1558.5	882.33	1168.43	435.25	600.85	518.6	228.33	704.08	1070.75	1180.25	729.5	1026.4499999999998	1168.34	1765.0	820.0	514.67	1346.47	470.42	548.92	2715.15	417.0	315.75	342.0	614.0	979.17	361.75	466.5	1021.75
K07775	8353.17	1202.0	5496.5	16334.33	18187.0	2534.16	6779.12	5629.0	2459.54	4676.35	1898.44	2913.8	1254.6	3737.85	85.66	78.67	74.33	420.0	267.0	96.67	269.33	57.0	49.33	9.0	468.4	739.05	278.67	125.75	442.88
