"","071B","073B","075B","077B","081B","083B","085B","088B","091B","093B","097B","100B","101B","105B","106B","107B","215B","218B","219B","220B","224B","226B","227B","228B","235B","242B","245B","246B","248B"
"Carnobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58583.3481271081,28404.0475767797,0,30179.3005503284,10651.5178412924,26628.794603231,23078.2886561335,12426.7708148411,31954.5535238772,10651.5178412924,0,28404.0475767797,28404.0475767797
"Porphyromonas",0,1775.25297354873,0,0,0,0,0,0,0,0,0,0,0,5325.75892064619,0,23078.2886561335,14202.0237883898,14202.0237883898,8876.26486774365,24853.5416296822,5325.75892064619,21303.0356825848,0,10651.5178412924,12426.7708148411,31954.5535238772,10651.5178412924,23078.2886561335,15977.2767619386
"Ruminococcus_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8876.26486774365,3550.50594709746,26628.794603231,5325.75892064619,0,5325.75892064619,24853.5416296822,0,14202.0237883898,7101.01189419492
"Prevotellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28404.0475767797,14202.0237883898,0,78111.1308361441,5325.75892064619,17752.5297354873,5325.75892064619,17752.5297354873,46156.577312267,67459.6129948518,7101.01189419492,14202.0237883898,23078.2886561335
"Vibrio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42606.0713651695,23078.2886561335,7101.01189419492,15977.2767619386,39055.5654180721,28404.0475767797,30179.3005503284,7101.01189419492,46156.577312267,37280.3124445233,30179.3005503284,69234.8659684005,35505.0594709746
"Holosporaceae",10651.5178412924,0,0,30179.3005503284,0,1775.25297354873,3550.50594709746,0,0,21303.0356825848,0,0,0,12426.7708148411,33729.8064974259,0,10651.5178412924,8876.26486774365,5325.75892064619,8876.26486774365,42606.0713651695,31954.5535238772,1775.25297354873,0,58583.3481271081,28404.0475767797,8876.26486774365,24853.5416296822,19527.782709036
"Ruminococcaceae_UCG_014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26628.794603231,21303.0356825848,1775.25297354873,21303.0356825848,39055.5654180721,19527.782709036,19527.782709036,3550.50594709746,17752.5297354873,23078.2886561335,3550.50594709746,23078.2886561335,17752.5297354873
"Kurthia",0,0,1775.25297354873,35505.0594709746,0,0,0,7101.01189419492,0,0,0,0,0,0,24853.5416296822,0,37280.3124445233,7101.01189419492,0,28404.0475767797,0,24853.5416296822,62133.8540742056,0,8876.26486774365,24853.5416296822,0,42606.0713651695,0
"Acetitomaculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3550.50594709746,7101.01189419492,0,26628.794603231,5325.75892064619,17752.5297354873,19527.782709036,1775.25297354873,31954.5535238772,3550.50594709746,0,47931.8302858157,31954.5535238772
"Rothia",5325.75892064619,7101.01189419492,0,117166.696254216,0,0,0,0,0,39055.5654180721,7101.01189419492,10651.5178412924,33729.8064974259,0,23078.2886561335,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peptococcus",0,0,0,23078.2886561335,0,0,0,1775.25297354873,21303.0356825848,0,0,0,0,0,0,0,3550.50594709746,0,0,12426.7708148411,0,1775.25297354873,0,0,1775.25297354873,0,0,8876.26486774365,0
"Psychrobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5325.75892064619,8876.26486774365,1775.25297354873,19527.782709036,5325.75892064619,3550.50594709746,0,0,14202.0237883898,10651.5178412924,0,60358.6011006568,15977.2767619386
"Gastranaerophilales",0,0,0,0,0,0,0,0,0,3550.50594709746,0,0,0,0,0,0,14202.0237883898,1775.25297354873,0,5325.75892064619,0,5325.75892064619,1775.25297354873,7101.01189419492,21303.0356825848,3550.50594709746,3550.50594709746,30179.3005503284,8876.26486774365
"Paludibacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37280.3124445233,21303.0356825848,0,40830.8183916208,24853.5416296822,0,14202.0237883898,10651.5178412924,58583.3481271081,23078.2886561335,14202.0237883898,28404.0475767797,26628.794603231
"Bacillus",415409.195810403,8876.26486774365,12426.7708148411,26628.794603231,3550.50594709746,0,0,1775.25297354873,8876.26486774365,0,0,5325.75892064619,0,1775.25297354873,10651.5178412924,3550.50594709746,15977.2767619386,7101.01189419492,0,1775.25297354873,14202.0237883898,3550.50594709746,3550.50594709746,0,5325.75892064619,0,0,21303.0356825848,46156.577312267
"Anaerovibrio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101.01189419492,1775.25297354873,0,12426.7708148411,0,7101.01189419492,26628.794603231,0,8876.26486774365,1775.25297354873,0,0,19527.782709036
"Atopostipes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15977.2767619386,0,0,14202.0237883898,1775.25297354873,0,0,0,10651.5178412924,24853.5416296822,5325.75892064619,10651.5178412924,21303.0356825848
"Ignatzschineria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90537.9016509853,55032.8421800107,15977.2767619386,40830.8183916208,51482.3362329132,47931.8302858157,31954.5535238772,15977.2767619386,44381.3243387183,108290.431386473,33729.8064974259,37280.3124445233,81661.6367832416
"Prevotellaceae_UCG_004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17752.5297354873,31954.5535238772,0,26628.794603231,19527.782709036,31954.5535238772,15977.2767619386,0,5325.75892064619,19527.782709036,0,40830.8183916208,0
"Dorea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14202.0237883898,3550.50594709746,0,19527.782709036,30179.3005503284,0,0,0,8876.26486774365,17752.5297354873,0,15977.2767619386,10651.5178412924
"Sphingobacterium",0,0,0,0,0,5325.75892064619,0,0,0,0,0,0,0,0,0,0,19527.782709036,21303.0356825848,0,33729.8064974259,40830.8183916208,10651.5178412924,5325.75892064619,39055.5654180721,21303.0356825848,37280.3124445233,23078.2886561335,31954.5535238772,26628.794603231
"Ignavigranum",0,0,0,0,0,0,0,0,30179.3005503284,0,0,0,0,0,0,0,39055.5654180721,12426.7708148411,0,3550.50594709746,5325.75892064619,8876.26486774365,0,26628.794603231,5325.75892064619,26628.794603231,17752.5297354873,17752.5297354873,15977.2767619386
"Proteiniphilum",0,1775.25297354873,0,7101.01189419492,0,0,0,0,3550.50594709746,0,0,0,0,0,0,0,0,15977.2767619386,0,19527.782709036,24853.5416296822,24853.5416296822,39055.5654180721,10651.5178412924,37280.3124445233,19527.782709036,8876.26486774365,21303.0356825848,15977.2767619386
"Veillonella",26628.794603231,0,0,0,7101.01189419492,0,0,0,31954.5535238772,0,0,21303.0356825848,81661.6367832416,0,60358.6011006568,17752.5297354873,0,0,0,8876.26486774365,0,5325.75892064619,0,0,0,0,0,0,0
"Oligella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14202.0237883898,26628.794603231,0,14202.0237883898,7101.01189419492,5325.75892064619,0,0,12426.7708148411,24853.5416296822,12426.7708148411,7101.01189419492,35505.0594709746
"Flavobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15977.2767619386,0,0,8876.26486774365,8876.26486774365,19527.782709036,0,0,17752.5297354873,17752.5297354873,0,19527.782709036,0
"Helcococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8876.26486774365,10651.5178412924,0,0,0,7101.01189419492,10651.5178412924,0,14202.0237883898,7101.01189419492,0,8876.26486774365,12426.7708148411
"Campylobacter",0,0,0,0,0,0,0,0,14202.0237883898,0,0,0,0,0,0,0,1775.25297354873,10651.5178412924,0,10651.5178412924,7101.01189419492,5325.75892064619,0,0,12426.7708148411,12426.7708148411,3550.50594709746,8876.26486774365,10651.5178412924
"Novosphingobium",14202.0237883898,5325.75892064619,3550.50594709746,0,7101.01189419492,0,0,0,0,0,0,0,0,0,10651.5178412924,0,0,0,0,1775.25297354873,0,0,0,0,0,7101.01189419492,0,15977.2767619386,0
"Fibrobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,5325.75892064619,0,0,0,0,0,5325.75892064619,7101.01189419492,5325.75892064619,0,5325.75892064619,19527.782709036,3550.50594709746,0,0,17752.5297354873
"Christensenellaceae_R_7_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65684.360021303,15977.2767619386,0,104739.925439375,56808.0951535594,23078.2886561335,21303.0356825848,7101.01189419492,33729.8064974259,5325.75892064619,3550.50594709746,53257.5892064619,5325.75892064619
"Prevotella_7",0,0,0,0,0,0,0,0,21303.0356825848,0,0,0,0,0,0,0,0,0,0,17752.5297354873,14202.0237883898,58583.3481271081,0,3550.50594709746,23078.2886561335,37280.3124445233,8876.26486774365,15977.2767619386,46156.577312267
