#NAME	139A	140A	141A	142A	143A	144A	145A	146A	147A	148A	149A	150A	151A	152A	153A	154A	155A	156A	157A	158A	159A	160A	161A	162A	163A	164A	165A	166A	167A	168A	169A	249A	250A	251A	252A	253A	254A	255A	256A	257A	258A	259A	260A	261A	262A	263A
Parasutterella	0	0	0	0	0	0	0	0	0	0	874.3933896	2185.983474	5683.557032	0	0	0	0	0	4809.163643	0	0	167446.3341	2623.180169	5683.557032	93997.28938	222970.3143	0	0	0	0	0	80881.38854	135530.9754	0	17050.6711	7869.540506	22297.03143	0	0	2185.983474	0	35850.12897	0	40659.29262	0	6995.147117
Intestinimonas	48966.02982	15301.88432	34538.53889	0	38910.50584	34975.73558	32352.55541	24483.01491	38036.11245	19236.65457	19236.65457	0	108424.7803	39784.89923	90062.51913	51152.01329	0	29729.37525	0	19673.85127	46780.04634	13990.29423	0	2185.983474	12678.70415	14864.68762	31478.16203	10055.52398	15301.88432	3934.770253	0	0	22734.22813	0	0	22734.22813	117168.7142	5246.360338	0	5246.360338	0	125912.6481	92685.6993	52026.40668	83941.7654	107987.5836
Oscillibacter	44594.06287	25794.60499	29729.37525	0	52900.80007	18799.45788	6120.753727	20111.04796	24045.81821	0	17925.06449	0	874.3933896	21422.63804	2185.983474	18799.45788	38036.11245	27543.39177	99243.64972	19673.85127	45468.45626	6995.147117	73011.84803	70825.86456	36724.52236	6557.950422	62081.93066	55523.98024	11367.11406	8743.933896	77821.01167	9181.130591	13990.29423	18362.26118	44594.06287	54212.39015	46342.84965	24920.2116	0	63830.71744	0	149521.2696	57709.96371	15739.08101	55086.78354	74323.43811
Acetatifactor	1311.590084	2185.983474	0	0	4371.966948	3934.770253	0	0	5246.360338	0	5683.557032	0	0	8306.737201	0	3060.376864	874.3933896	6995.147117	4371.966948	19673.85127	11804.31076	0	4809.163643	2623.180169	0	0	7869.540506	17487.86779	0	0	0	0	0	0	0	874.3933896	0	0	0	0	0	3934.770253	0	6557.950422	0	5683.557032
Erysipelotrichaceae	13990.29423	0	73449.04473	0	5683.557032	7869.540506	2185.983474	90499.71582	43282.47278	0	0	0	0	4371.966948	0	194552.5292	156516.4167	73011.84803	2623.180169	2185.983474	12241.50745	0	0	0	2185.983474	0	437.1966948	0	0	7869.540506	874.3933896	1311.590084	0	3934.770253	0	8306.737201	2623.180169	55523.98024	0	0	0	0	0	0	0	3060.376864
Lachnospiraceae_UCG_006	8306.737201	0	0	18362.26118	10055.52398	0	0	3497.573558	0	54212.39015	3497.573558	0	0	437.1966948	2185.983474	0	437.1966948	0	0	0	0	16613.4744	8743.933896	1311.590084	0	3497.573558	20548.24466	2185.983474	0	5683.557032	87876.53565	0	5246.360338	0	0	0	0	12241.50745	0	0	0	4371.966948	2623.180169	14864.68762	1748.786779	8306.737201
ASF356	437.1966948	0	0	0	6557.950422	0	0	0	874.3933896	0	7432.343811	0	0	7432.343811	5246.360338	0	0	0	0	0	0	6120.753727	0	5683.557032	10929.91737	0	0	5683.557032	0	0	0	0	5683.557032	1311.590084	0	17487.86779	874.3933896	0	0	6557.950422	0	0	2185.983474	0	9618.327285	2185.983474
Tyzzerella	36724.52236	17925.06449	0	0	9181.130591	10055.52398	0	14427.49093	0	0	0	0	0	0	0	17925.06449	14864.68762	6120.753727	9618.327285	11804.31076	6557.950422	0	20985.44135	0	0	7432.343811	40222.09592	27543.39177	18362.26118	28854.98186	10055.52398	1748.786779	0	0	17925.06449	0	3060.376864	0	0	0	0	10492.72068	3497.573558	8306.737201	0	3934.770253
Faecalibaculum	0	0	8743.933896	7432.343811	0	0	1748.786779	1311.590084	0	15739.08101	5683.557032	45031.25956	8743.933896	6557.950422	3934.770253	0	0	0	0	0	0	437.1966948	1748.786779	0	3497.573558	0	0	0	2623.180169	3497.573558	11367.11406	5683.557032	0	0	0	3060.376864	0	0	4809.163643	7869.540506	37161.71906	0	0	0	0	0
Family_XIII	0	6995.147117	0	0	0	0	0	0	8306.737201	0	0	0	0	0	0	0	0	0	4371.966948	2185.983474	0	0	0	0	0	2185.983474	0	0	0	0	0	59458.75049	8743.933896	2623.180169	1748.786779	4371.966948	38036.11245	0	0	0	0	21422.63804	2185.983474	14427.49093	118043.1076	6120.753727
Ruminiclostridium_5	7432.343811	437.1966948	437.1966948	0	2623.180169	0	1311.590084	0	2185.983474	0	2185.983474	0	0	0	2185.983474	12678.70415	3497.573558	0	8743.933896	10929.91737	1748.786779	0	0	3060.376864	3497.573558	0	3497.573558	3060.376864	2185.983474	2623.180169	0	5246.360338	8306.737201	2623.180169	3497.573558	29729.37525	0	8743.933896	0	19236.65457	0	15739.08101	34975.73558	5246.360338	11367.11406	8306.737201
GCA_900066575	6120.753727	5683.557032	0	1311.590084	7432.343811	0	0	6557.950422	0	0	13990.29423	0	0	0	0	0	1311.590084	0	0	0	7432.343811	80006.99515	0	0	10492.72068	5683.557032	6120.753727	34101.34219	6120.753727	5246.360338	0	3934.770253	12678.70415	3934.770253	9618.327285	8743.933896	30603.76864	3060.376864	0	1311.590084	0	68202.68439	5246.360338	9618.327285	0	29729.37525
Peptococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6120.753727	2185.983474	0	0	437.1966948	1311.590084	4809.163643	7869.540506	5683.557032	3497.573558	24483.01491	6557.950422	0	0	2623.180169	0	5246.360338	6995.147117	0	10929.91737	8743.933896
