#NAME	108A	109A	110A	111A	112A	113A	114A	115A	116A	117A	118A	119A	120A	121A	122A	123A	124A	125A	126A	127A	128A	129A	130A	131A	132A	133A	134A	135A	136A	137A	138A
Enterorhabdus	29961.94024	36440.19759	59923.88048	45752.69253	36035.3065	23483.68289	42108.67277	3644.019759	35630.41542	23888.57397	22673.90072	37654.87084	32796.17783	43323.34602	48182.03903	44538.01927	85836.90987	28342.3759	19839.66313	25103.24723	8502.71277	36845.08867	36440.19759	9312.494939	0	2429.346506	16600.53446	21864.11855	12146.73253	19029.88096	5263.584096
Clostridiales_vadinBB60_group	101222.7711	146165.6814	48991.8212	31986.39566	17815.20771	40489.10843	234027.0467	274921.0462	157097.7407	266013.4424	217831.4034	81383.10794	50611.38554	94339.62264	87861.36529	64782.57349	29557.04915	87861.36529	96768.96915	208518.9084	263179.2048	320673.7388	85027.1277	105676.573	435257.9156	518665.479	104866.7908	217021.6212	216211.839	101222.7711	83002.67228
Ruminiclostridium	28342.3759	24698.35614	7692.930602	31986.39566	40893.99951	35225.52433	63163.00915	40084.21735	257915.6207	157502.6318	17410.31662	25913.0294	28342.3759	20244.55421	1619.564337	4048.910843	7692.930602	9312.494939	18220.09879	199206.4135	313790.5903	217021.6212	274516.1552	19434.77205	17005.42554	124301.5629	71260.83084	11741.84144	32796.17783	116203.7412	29961.94024
Parasutterella	20649.4453	27127.70265	92720.0583	14171.18795	10527.16819	11336.95036	19839.66313	3239.128674	5263.584096	809.7821686	4048.910843	9312.494939	30366.83132	28342.3759	36035.3065	21054.33638	115393.959	22269.00964	24698.35614	4858.693012	1619.564337	1214.673253	0	22673.90072	46562.47469	5668.47518	30771.72241	49396.71228	55470.07855	8097.821686	45347.80144
Eggerthellaceae	14576.07903	16195.64337	32391.28674	21054.33638	7692.930602	4048.910843	8907.603855	0	4858.693012	2024.455421	0	4453.801927	12551.62361	12146.73253	10527.16819	12551.62361	15385.8612	2024.455421	4453.801927	25913.0294	14576.07903	12551.62361	10122.27711	4453.801927	10932.05928	10527.16819	11336.95036	2024.455421	9717.386023	0	0
Intestinimonas	0	4048.910843	3239.128674	6883.148433	5668.47518	5263.584096	8097.821686	6478.257349	54255.4053	29152.15807	6478.257349	8097.821686	3239.128674	0	1214.673253	0	5668.47518	3644.019759	809.7821686	36035.3065	27937.48482	36035.3065	29961.94024	13766.29687	15385.8612	34415.74217	14171.18795	3239.128674	0	26317.92048	3239.128674
Oscillibacter	10932.05928	13766.29687	3239.128674	23078.79181	11336.95036	11741.84144	61138.55373	29961.94024	299619.4024	102032.5532	25103.24723	34820.63325	19434.77205	15385.8612	14171.18795	6883.148433	5263.584096	13361.40578	6478.257349	147785.2458	162766.2159	167624.9089	140092.3152	11336.95036	22673.90072	98793.42457	21054.33638	37249.97976	38464.65301	123896.6718	40893.99951
Acetatifactor	9312.494939	7692.930602	0	30366.83132	36440.19759	19839.66313	50611.38554	39679.32626	123086.8896	58709.20722	7288.039517	16600.53446	21054.33638	5263.584096	5668.47518	4453.801927	10122.27711	0	9312.494939	166815.1267	20649.4453	48991.8212	54660.29638	7692.930602	6478.257349	138877.6419	11741.84144	3644.019759	4048.910843	23483.68289	0
Lachnospiraceae_FCS020_group	0	3239.128674	0	0	6478.257349	4453.801927	26722.81156	16600.53446	80978.21686	46967.36578	20244.55421	17815.20771	17005.42554	18624.98988	8502.71277	7692.930602	9312.494939	10527.16819	11336.95036	138877.6419	83002.67228	55065.18746	89076.03855	3644.019759	17815.20771	5668.47518	5668.47518	8907.603855	12551.62361	33605.96	10932.05928
Erysipelotrichaceae	2024.455421	8907.603855	0	809.7821686	0	809.7821686	27127.70265	0	0	0	8097.821686	10527.16819	14576.07903	13766.29687	10932.05928	13361.40578	2024.455421	6478.257349	1214.673253	5263.584096	1619.564337	7288.039517	0	6883.148433	404.8910843	7692.930602	2834.23759	3239.128674	0	13361.40578	12956.5147
Lachnospiraceae_UCG_006	2834.23759	1619.564337	0	3239.128674	0	1619.564337	8502.71277	4453.801927	29152.15807	18220.09879	3644.019759	0	5668.47518	809.7821686	6883.148433	1214.673253	19839.66313	4453.801927	0	52635.84096	38059.76192	25508.13831	34820.63325	4453.801927	5668.47518	16195.64337	8907.603855	11741.84144	11741.84144	25913.0294	10527.16819
ASF356	8502.71277	38464.65301	32796.17783	20244.55421	25508.13831	24293.46506	32796.17783	22673.90072	115798.8501	129970.0381	19029.88096	2429.346506	2024.455421	15385.8612	9717.386023	12146.73253	8907.603855	8907.603855	16195.64337	139687.4241	163980.8891	84217.34553	82597.7812	20244.55421	34010.85108	49801.60337	36845.08867	8907.603855	8907.603855	56279.86072	13766.29687
A2	8907.603855	9312.494939	3239.128674	23888.57397	13766.29687	2429.346506	20244.55421	19434.77205	82597.7812	32391.28674	11741.84144	12146.73253	7692.930602	20244.55421	4858.693012	6073.366264	4048.910843	0	2429.346506	33605.96	63972.79132	32796.17783	33605.96	6883.148433	10527.16819	65187.46457	18624.98988	18220.09879	53850.51421	244959.106	8907.603855
Tyzzerella	0	0	0	809.7821686	0	2024.455421	0	0	6073.366264	2024.455421	1214.673253	4453.801927	0	0	0	0	0	0	0	7692.930602	809.7821686	2834.23759	4048.910843	0	2024.455421	5263.584096	2024.455421	0	0	2429.346506	1619.564337
