#NAME	050B	051B	052B	058B	059B	060B	064B	065B	066B	067B	073B	074B	075B	076B	080B	081B	082B	083B	084B	085B	086B	087B	088B	095B	096B	097B	102B	103B	104B	105B	106B	107B	214B	215B	216B	226B	227B	228B	229B	230B	231B	232B	233B	234B	235B	236B	237B	238B	239B	240B
Euglenida	1823.154057	5469.46217	3646.308113	18231.54057	0	5469.46217	0	0	0	0	16408.38651	14585.23245	5469.46217	5469.46217	27347.31085	14585.23245	20054.69462	12762.0784	43755.69736	0	0	1823.154057	1823.154057	0	0	0	10938.92434	20054.69462	0	1823.154057	52871.46764	12762.0784	3646.308113	0	0	0	0	0	0	0	0	0	0	0	1823.154057	0	0	0	0	0
Rhodospirillales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1823.154057	0	0	0	0	0	0	0	0	0	0	0	5469.46217	12762.0784	0	5469.46217	1823.154057	5469.46217	9115.770283	1823.154057	63810.39198	12762.0784	10938.92434	0	7292.616226	16408.38651	14585.23245	23701.00273	3646.308113	16408.38651
Ruminobacter	0	0	0	1823.154057	0	0	0	0	0	0	3646.308113	0	0	0	0	0	0	0	0	0	0	3646.308113	0	0	0	0	0	0	0	0	0	0	71103.0082	52871.46764	0	67456.70009	23701.00273	16408.38651	80218.77849	0	34639.92707	98450.31905	0	3646.308113	54694.6217	10938.92434	10938.92434	34639.92707	9115.770283	74749.31632
Ruminococcaceae_UCG_009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9115.770283	7292.616226	47402.00547	5469.46217	7292.616226	1823.154057	0	7292.616226	10938.92434	0	0	0	3646.308113	0	1823.154057	0	7292.616226	10938.92434
Aerococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5469.46217	0	0	0	0	0	0	1823.154057	0	0	0	0	3646.308113	5469.46217	0	0	0	0	32816.77302	36463.08113	0	9115.770283	5469.46217	3646.308113	63810.39198	25524.15679	12762.0784	14585.23245	18231.54057	7292.616226	47402.00547	32816.77302	16408.38651	23701.00273	7292.616226	20054.69462
Fusobacterium	0	0	0	0	0	0	0	0	0	0	0	21877.84868	0	0	0	0	0	1823.154057	0	0	3646.308113	0	0	0	0	1823.154057	0	0	0	0	0	0	18231.54057	83865.0866	0	20054.69462	30993.61896	38286.23519	25524.15679	43755.69736	76572.47037	94804.01094	43755.69736	0	40109.38924	7292.616226	14585.23245	61987.23792	5469.46217	23701.00273
Ruminiclostridium_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9115.770283	10938.92434	9115.770283	3646.308113	9115.770283	0	1823.154057	0	9115.770283	0	0	21877.84868	3646.308113	1823.154057	0	0	7292.616226
Flectobacillus	0	0	0	0	0	0	0	7292.616226	1823.154057	0	7292.616226	0	0	3646.308113	9115.770283	7292.616226	1823.154057	0	9115.770283	5469.46217	0	1823.154057	0	0	0	0	0	0	0	0	12762.0784	7292.616226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blautia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52871.46764	32816.77302	0	32816.77302	30993.61896	18231.54057	0	21877.84868	21877.84868	18231.54057	0	0	36463.08113	0	10938.92434	32816.77302	0	16408.38651
Leptotrichiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18231.54057	45578.85141	0	20054.69462	29170.4649	5469.46217	30993.61896	5469.46217	14585.23245	52871.46764	45578.85141	5469.46217	23701.00273	9115.770283	16408.38651	25524.15679	1823.154057	51048.31358
Phascolarctobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29170.4649	76572.47037	0	20054.69462	20054.69462	7292.616226	69279.85415	34639.92707	14585.23245	58340.92981	63810.39198	5469.46217	51048.31358	7292.616226	21877.84868	27347.31085	16408.38651	65633.54603
